nama_matkul,minat,kesulitan,relevansi,nilai_prasyarat,label
Paradigma Berpikir Komputasi,3,3,3,4,0
Paradigma Berpikir Sistem dan Desain,4,3,4,5,1
Manajemen Proyek Teknologi Informasi,3,4,3,4,0
Manajemen Layanan Teknologi Informasi,4,3,4,5,1
Pengembangan Program Pelatihan Teknologi Informasi,3,4,3,3,0
Pendidikan Orang Dewasa dan Berkelanjutan,4,3,4,4,1
Manajemen Sistem Pendidikan,3,3,3,4,0
Pembelajaran Sosial Emosional,5,2,5,5,1
Pembelajaran Inklusi,4,2,4,5,1
Sistem Pendukung Keputusan,4,3,4,4,1
Sistem Belajar Mesin,3,4,4,4,0
Teknologi Komputasi Awan,5,3,5,5,1
Teknologi Peranti Internet,4,4,4,4,0
